node_type_id model_name model_type ei model_template morphology model_processing
257 480056382_perisomatic biophysical i nml:Cell_480056382.cell.nml Htr3a-Cre_491119581_m aibs_perisomatic
258 482657528_perisomatic biophysical i nml:Cell_482657528.cell.nml Rorb-IRES2-Cre-D;Ai14-197353.06.02.01_496079587_m aibs_perisomatic
259 482529696_perisomatic biophysical i nml:Cell_482529696.cell.nml Rorb-IRES2-Cre-D;Ai14-197851.04.01.01_491770985_m aibs_perisomatic
260 483109057_perisomatic biophysical i nml:Cell_483109057.cell.nml Rorb-IRES2-Cre-D;Ai14-197851.05.02.01_492413372_m aibs_perisomatic
261 483066358_perisomatic biophysical i nml:Cell_483066358.cell.nml Htr3a-Cre_491119526_m aibs_perisomatic
262 483106906_perisomatic biophysical i nml:Cell_483106906.cell.nml Pvalb-IRES-Cre;Ai14-199001.04.02.01_491119245_m aibs_perisomatic
263 484628276_perisomatic biophysical i nml:Cell_484628276.cell.nml Sst-IRES-Cre;Ai14-199390.05.01.01_492101025_m aibs_perisomatic
264 485513184_perisomatic biophysical i nml:Cell_485513184.cell.nml Cux2-CreERT2;Ai14-198018.04.01.01_514351601_m aibs_perisomatic
265 485602029_perisomatic biophysical i nml:Cell_485602029.cell.nml Pvalb-IRES-Cre;Ai14-201791.05.01.01_496079599_m aibs_perisomatic
266 485611914_perisomatic biophysical i nml:Cell_485611914.cell.nml Pvalb-IRES-Cre;Ai14-201773.04.01.01_496079434_m aibs_perisomatic
267 485904766_perisomatic biophysical i nml:Cell_485904766.cell.nml Sst-IRES-Cre;Ai14-202726.05.02.01_496123885_m aibs_perisomatic
268 485694403_perisomatic biophysical i nml:Cell_485694403.cell.nml Pvalb-IRES-Cre;Ai14-202470.03.02.01_505202170_m aibs_perisomatic
269 485720616_perisomatic biophysical i nml:Cell_485720616.cell.nml Sst-IRES-Cre;Ai14-202729.03.02.01_496079506_m aibs_perisomatic
270 486052412_perisomatic biophysical i nml:Cell_486052412.cell.nml Rbp4-Cre_496001061_m aibs_perisomatic
271 486508647_perisomatic biophysical i nml:Cell_486508647.cell.nml Rorb-IRES2-Cre-D;Ai14-204764.04.01.01_496001039_m aibs_perisomatic
272 486509958_perisomatic biophysical i nml:Cell_486509958.cell.nml Rorb-IRES2-Cre-D;Ai14-204766.03.02.01_510988665_m aibs_perisomatic
273 488083972_perisomatic biophysical i nml:Cell_488083972.cell.nml Rbp4-Cre_512328534_m aibs_perisomatic
274 486558444_perisomatic biophysical i nml:Cell_486558444.cell.nml Cux2-CreERT2;Ai14-207760.03.01.01_496163976_m aibs_perisomatic
275 486909496_perisomatic biophysical i nml:Cell_486909496.cell.nml Rorb-IRES2-Cre-D;Ai14-206927.04.01.01_496253700_m aibs_perisomatic
276 488462965_perisomatic biophysical i nml:Cell_488462965.cell.nml Pvalb-IRES-Cre;Ai14-212813.03.01.01_496163999_m aibs_perisomatic
277 489931686_perisomatic biophysical i nml:Cell_489931686.cell.nml Pvalb-IRES-Cre;Ai14-212440.05.02.01_500961631_m aibs_perisomatic
